scheduling process 6, rbi 87652344, rtime 0, wtime 24, stime 24
scheduling process 7, rbi 87652344, rtime 0, wtime 24, stime 24
scheduling process 8, rbi 87652344, rtime 0, wtime 24, stime 24
scheduling process 11, rbi 81, rtime 33, wtime 16, stime 0
scheduling process 9, rbi 85, rtime 34, wtime 15, stime 0
scheduling process 4, rbi 84214996, rtime 0, wtime 23, stime 27
scheduling process 10, rbi 102, rtime 39, wtime 11, stime 0
scheduling process 5, rbi 84214996, rtime 0, wtime 25, stime 25
scheduling process 6, rbi 84214996, rtime 0, wtime 25, stime 25
scheduling process 7, rbi 84214996, rtime 0, wtime 25, stime 25
scheduling process 8, rbi 84214996, rtime 0, wtime 25, stime 25
scheduling process 11, rbi 80, rtime 34, wtime 17, stime 0
scheduling process 9, rbi 84, rtime 35, wtime 16, stime 0
scheduling process 4, rbi 81037069, rtime 0, wtime 24, stime 28
scheduling process 10, rbi 103, rtime 41, wtime 11, stime 0
scheduling process 5, rbi 81037069, rtime 0, wtime 26, stime 26
scheduling process 6, rbi 81037069, rtime 0, wtime 26, stime 26
scheduling process 7, rbi 81037069, rtime 0, wtime 26, stime 26
scheduling process 8, rbi 81037069, rtime 0, wtime 26, stime 26
scheduling process 11, rbi 79, rtime 35, wtime 18, stime 0
scheduling process 10, rbi 105, rtime 42, wtime 11, stime 0
scheduling process 4, rbi 78090265, rtime 0, wtime 25, stime 29
scheduling process 9, rbi 83, rtime 37, wtime 17, stime 0
scheduling process 5, rbi 78090265, rtime 0, wtime 27, stime 27
scheduling process 6, rbi 78090265, rtime 0, wtime 27, stime 27
scheduling process 7, rbi 78090265, rtime 0, wtime 27, stime 27
scheduling process 8, rbi 78090265, rtime 0, wtime 27, stime 27
scheduling process 11, rbi 78, rtime 36, wtime 19, stime 0
scheduling process 10, rbi 103, rtime 43, wtime 12, stime 0
scheduling process 4, rbi 75350254, rtime 0, wtime 26, stime 30
scheduling process 9, rbi 85, rtime 39, wtime 17, stime 0
scheduling process 5, rbi 75350254, rtime 0, wtime 28, stime 28
scheduling process 6, rbi 75350254, rtime 0, wtime 28, stime 28
scheduling process 7, rbi 75350254, rtime 0, wtime 28, stime 28
scheduling process 8, rbi 75350254, rtime 0, wtime 28, stime 28
scheduling process 11, rbi 77, rtime 37, wtime 20, stime 0
scheduling process 10, rbi 101, rtime 45, wtime 13, stime 0
scheduling process 4, rbi 72796006, rtime 0, wtime 27, stime 31
scheduling process 9, rbi 87, rtime 41, wtime 17, stime 0
scheduling process 5, rbi 72796006, rtime 0, wtime 29, stime 29
scheduling process 6, rbi 72796006, rtime 0, wtime 29, stime 29
scheduling process 7, rbi 72796006, rtime 0, wtime 29, stime 29
scheduling process 8, rbi 72796006, rtime 0, wtime 29, stime 29
scheduling process 10, rbi 103, rtime 47, wtime 13, stime 0
scheduling process 11, rbi 76, rtime 39, wtime 21, stime 0
scheduling process 4, rbi 70409250, rtime 0, wtime 28, stime 32
scheduling process 9, rbi 89, rtime 43, wtime 17, stime 0
scheduling process 5, rbi 70409250, rtime 0, wtime 30, stime 30
scheduling process 6, rbi 70409250, rtime 0, wtime 30, stime 30
scheduling process 7, rbi 70409250, rtime 0, wtime 30, stime 30
scheduling process 8, rbi 70409250, rtime 0, wtime 30, stime 30
scheduling process 9, rbi 91, rtime 45, wtime 17, stime 0
scheduling process 4, rbi 68174034, rtime 0, wtime 29, stime 33
scheduling process 5, rbi 68174034, rtime 0, wtime 31, stime 31
scheduling process 11, rbi 78, rtime 41, wtime 21, stime 0
scheduling process 6, rbi 68174034, rtime 0, wtime 31, stime 31
scheduling process 10, rbi 104, rtime 49, wtime 13, stime 0
scheduling process 7, rbi 68174034, rtime 0, wtime 31, stime 31
scheduling process 8, rbi 68174034, rtime 0, wtime 31, stime 31
scheduling process 10, rbi 106, rtime 49, wtime 13, stime 0
scheduling process 3, rbi 68174034, rtime 0, wtime 0, stime 62
scheduling process 9, rbi 93, rtime 45, wtime 17, stime 0
